style_id,upc_num,priority,case,availability,qty_on_hand,qty_on_order,qty_total,qty_sales_order,qty_sold_last_6m,qty_avg/mo,months_of_supply,wholesale_price_x,cte_cost,qty_cte_cost,status,2015,2016,2017,2018,2019,2020,2021,2022-01,2022-02,2022-03,2022-04,qt_sales_order,total_sales_2022,qt_on_hand,monthly_avg_2022,wholesale_price_y,color,country_of_origin,warranty,band_color,band_material,case_material,clasp_type,dial_color,movement_type,water_resistant,max_cart_qty,case_size,gender,retail_price,collection
CE1107,796483527706,C,35MM,Available,12.0,0,12.0,10.0,43,7.166666666666667,3.069767441860465,115.0,80.5,805.0,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,6.0,5.0,7.0,4.0,29.0,12.0,7.25,161.0,White,Japan - JP,2 - Year International Limited Warranty,White,Ceramic,Stainless Steel,Fold-Over,White,Quartz,100m - 330ft - 10atm,100.0,35.0,Ladies,230.0,Fb - 01
CE1108,796483528413,C,35MM,Available,17.0,0,17.0,0.0,23,3.8333333333333335,4.434782608695652,115.0,80.5,0.0,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,0.0,2.0,3.0,3.0,10.0,17.0,2.5,161.0,Black,Japan - JP,2 - Year International Limited Warranty,Black,Ceramic,Stainless Steel,Fold-Over,Black,Quartz,100m - 330ft - 10atm,100.0,35.0,Ladies,230.0,Fb - 01
CE1111,796483547278,C,36MM,Available,0.0,0,0.0,10.0,5,0.8333333333333334,12.0,115.0,80.5,805.0,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,1.0,161.0,Brown,China - CN,2 - Year International Limited Warranty,Brown,Ceramic,Stainless Steel,Clasp,Brown,Quartz,100m - 330ft - 10atm,100.0,36.0,Ladies,230.0,Fb - 01
CE1112,796483548251,C,38MM,Available,8.0,0,8.0,5.0,22,3.6666666666666665,3.5454545454545454,115.0,80.5,402.5,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,7.0,1.0,3.0,19.0,8.0,4.75,161.0,Rose gold,China - CN,2 - Year International Limited Warranty,Brown,Ceramic,Ceramic,Buckle,Rose Gold,Quartz,50m - 160ft - 5atm,100.0,38.0,Ladies,230.0,Stella
CE1113,796483548268,C,38MM,Available,14.0,0,14.0,5.0,26,4.333333333333333,4.384615384615385,115.0,80.5,402.5,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,4.0,3.0,23.0,14.0,5.75,161.0,Silver,China - CN,2 - Year International Limited Warranty,White,Ceramic,Ceramic,Buckle,Silver,Quartz,50m - 160ft - 5atm,100.0,38.0,Ladies,230.0,Stella
CH2564,691464293086,B,44MM,Available,48.0,0,48.0,40.0,108,18.0,4.888888888888889,75.0,52.5,2100.0,No status reported,71.0,181.0,260.0,381.0,170.0,0.0,42.0,16.0,8.0,27.0,11.0,9.0,62.0,48.0,15.5,105.0,Blue,Japan - JP,2 - Year International Limited Warranty,Black,Leather,Stainless Steel,No clasp type reported,Blue,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,150.0,Coachman
CH2565,691464293093,B,44MM,Delivery within 6 weeks,22.0,0,22.0,60.0,107,17.833333333333332,4.598130841121495,75.0,52.5,3150.0,No status reported,69.0,208.0,272.0,282.0,86.0,86.0,149.0,18.0,7.0,25.0,11.0,9.0,61.0,22.0,15.25,105.0,Brown,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,No clasp type reported,Brown,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,150.0,Coachman
CH2891,796483033177,B,44MM,Available,2.0,40,42.0,30.0,98,16.333333333333332,4.408163265306123,75.0,52.5,1575.0,No status reported,60.0,100.0,141.0,220.0,100.0,20.0,46.0,11.0,7.0,26.0,11.0,11.0,55.0,2.0,13.75,105.0,Black,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,No clasp type reported,Black,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,150.0,Coachman
ES2811,691464629922,B,38MM,Available,38.0,0,38.0,50.0,164,27.333333333333332,3.2195121951219514,75.0,52.5,2625.0,No status reported,48.0,119.0,234.0,221.0,263.0,93.0,225.0,31.0,14.0,20.0,44.0,4.0,109.0,38.0,27.25,105.0,Gold,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,No clasp type reported,Gold,Quartz,50m - 160ft - 5atm,10000.0,38.0,Ladies,150.0,Riley
ES2830,691464707514,B,32MM,Available,23.0,0,23.0,0.0,12,2.0,11.5,60.0,42.0,0.0,No status reported,19.0,52.0,37.0,114.0,101.0,20.0,20.0,3.0,6.0,3.0,0.0,0.0,12.0,23.0,3.0,84.0,Brown,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,No clasp type reported,Brown,Quartz,50m - 160ft - 5atm,10000.0,32.0,Ladies,120.0,Georgia
ES3202,691464949020,B,38MM,Available,52.0,0,52.0,30.0,135,22.5,3.6444444444444444,65.0,45.5,1365.0,No status reported,71.0,126.0,443.0,693.0,601.0,197.0,197.0,27.0,1.0,22.0,32.0,4.0,82.0,52.0,20.5,91.0,White,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,No clasp type reported,White,Quartz,50m - 160ft - 5atm,10000.0,38.0,Ladies,130.0,Riley
ES3203,691464949037,B,38MM,Available,74.0,0,74.0,30.0,182,30.333333333333332,3.428571428571429,75.0,52.5,1575.0,No status reported,94.0,197.0,363.0,353.0,368.0,103.0,260.0,29.0,15.0,36.0,36.0,11.0,116.0,74.0,29.0,105.0,Gold,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless Steel,Stainless Steel,No clasp type reported,Gold,Quartz,50m - 160ft - 5atm,10000.0,38.0,Ladies,150.0,Riley
ES3204,691464949044,B,38MM,Available,20.0,10,30.0,60.0,160,26.666666666666668,3.375,70.0,49.0,2940.0,No status reported,70.0,204.0,276.0,415.0,305.0,168.0,166.0,24.0,11.0,39.0,37.0,9.0,111.0,20.0,27.75,98.0,White,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,No clasp type reported,White,Quartz,50m - 160ft - 5atm,10000.0,38.0,Ladies,140.0,Riley
ES3282,796483008052,B,30MM,Available,38.0,0,38.0,0.0,60,10.0,3.8,60.0,42.0,0.0,No status reported,44.0,121.0,119.0,322.0,169.0,74.0,59.0,1.0,30.0,5.0,5.0,2.0,41.0,38.0,10.25,84.0,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,No clasp type reported,Silver,Quartz,50m - 160ft - 5atm,10000.0,30.0,Ladies,120.0,Virginia
ES3284,796483008076,B,30MM,Available,16.0,0,16.0,30.0,63,10.5,4.380952380952381,70.0,49.0,1470.0,No status reported,37.0,98.0,139.0,219.0,197.0,66.0,49.0,14.0,9.0,12.0,13.0,2.0,48.0,16.0,12.0,98.0,White,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,No clasp type reported,White,Quartz,50m - 160ft - 5atm,10000.0,30.0,Ladies,140.0,Virginia
ES3433,796483045651,B,36MM,Available,26.0,0,26.0,20.0,70,11.666666666666666,3.942857142857143,70.0,49.0,980.0,No status reported,71.0,111.0,323.0,710.0,449.0,169.0,91.0,11.0,17.0,4.0,13.0,2.0,45.0,26.0,11.25,98.0,White,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,No clasp type reported,White,Quartz,50m - 160ft - 5atm,10000.0,36.0,Ladies,140.0,Jacqueline
ES3434,796483045668,C,36MM,Available,19.0,0,19.0,20.0,56,9.333333333333334,4.178571428571428,70.0,49.0,980.0,No status reported,80.0,141.0,209.0,283.0,350.0,117.0,96.0,0.0,1.0,17.0,15.0,4.0,33.0,19.0,8.25,98.0,Gold,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless Steel,Stainless Steel,No clasp type reported,Gold,Quartz,50m - 160ft - 5atm,10000.0,36.0,Ladies,140.0,Jacqueline
ES3466,796483064980,B,38MM,Available,19.0,0,19.0,10.0,53,8.833333333333334,3.283018867924528,80.0,56.0,560.0,No status reported,28.0,61.0,21.0,102.0,49.0,27.0,24.0,5.0,1.0,27.0,2.0,2.0,35.0,19.0,8.75,112.0,Silver,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,No clasp type reported,Silver,Quartz,50m - 160ft - 5atm,10000.0,38.0,Ladies,160.0,Riley
ES3545,796483081666,B,36MM,Available,20.0,0,20.0,0.0,30,5.0,4.0,80.0,56.0,0.0,No status reported,59.0,84.0,151.0,345.0,160.0,78.0,63.0,5.0,0.0,5.0,3.0,2.0,13.0,20.0,3.25,112.0,White,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,No clasp type reported,White,Quartz,50m - 160ft - 5atm,10000.0,36.0,Ladies,160.0,Jacqueline
ES3546,796483081680,B,36MM,Available,22.0,30,52.0,0.0,48,8.0,6.5,80.0,56.0,0.0,No status reported,46.0,79.0,88.0,192.0,117.0,42.0,87.0,0.0,5.0,7.0,4.0,1.0,16.0,22.0,4.0,112.0,Rose gold,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,No clasp type reported,Rose Gold,Quartz,50m - 160ft - 5atm,10000.0,36.0,Ladies,160.0,Jacqueline
ES3708,796483138216,B,36MM,Available,34.0,0,34.0,0.0,11,1.8333333333333333,18.545454545454547,60.0,42.0,0.0,No status reported,10.0,27.0,72.0,64.0,52.0,25.0,40.0,3.0,3.0,4.0,0.0,1.0,10.0,34.0,2.5,84.0,Silver,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,Buckle,Silver,Quartz,30m - 100ft - 3atm,10000.0,36.0,Ladies,120.0,Jacqueline
ES3716,796483150430,B,30MM,Available,30.0,0,30.0,10.0,58,9.666666666666666,4.137931034482759,80.0,56.0,560.0,No status reported,40.0,86.0,93.0,136.0,123.0,56.0,66.0,12.0,2.0,11.0,2.0,5.0,27.0,30.0,6.75,112.0,Mother of pearl,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,No clasp type reported,Mother Of Pearl,Quartz,50m - 160ft - 5atm,10000.0,30.0,Ladies,160.0,Virginia
ES3843,796483181984,B,36MM,Available,18.0,10,28.0,0.0,22,3.6666666666666665,7.636363636363637,60.0,42.0,0.0,No status reported,11.0,31.0,115.0,93.0,93.0,56.0,33.0,4.0,13.0,0.0,0.0,2.0,17.0,18.0,4.25,84.0,White,Japan - JP,2 - Year International Limited Warranty,Blue,Leather,Stainless Steel,No clasp type reported,White,Quartz,50m - 160ft - 5atm,10000.0,36.0,Ladies,120.0,Jacqueline
ES3988,796483244603,B,36MM,Available,18.0,0,18.0,0.0,12,2.0,9.0,60.0,42.0,0.0,No status reported,0.0,23.0,23.0,55.0,13.0,11.0,23.0,3.0,3.0,3.0,1.0,2.0,10.0,18.0,2.5,84.0,White,Japan - JP,2 - Year International Limited Warranty,White,Leather,Stainless Steel,No clasp type reported,White,Quartz,50m - 160ft - 5atm,10000.0,36.0,Ladies,120.0,Jacqueline
ES4274,796483338838,B,36MM,Available,35.0,0,35.0,0.0,42,7.0,5.0,60.0,42.0,0.0,No status reported,0.0,0.0,38.0,100.0,90.0,23.0,27.0,0.0,0.0,24.0,0.0,1.0,24.0,35.0,6.0,84.0,Blue,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,No clasp type reported,Blue,Quartz,50m - 160ft - 5atm,10000.0,36.0,Ladies,120.0,Jacqueline
ES4301,796483358065,B,35MM,Available,41.0,0,41.0,0.0,50,8.333333333333334,4.92,70.0,49.0,0.0,No status reported,0.0,0.0,0.0,235.0,142.0,84.0,41.0,1.0,0.0,7.0,4.0,8.0,12.0,41.0,3.0,98.0,Rose gold,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,No clasp type reported,Rose Gold,Quartz,50m - 160ft - 5atm,10000.0,35.0,Ladies,140.0,Carlie
ES4317,796483354241,A,32MM,Available,90.0,50,140.0,0.0,65,10.833333333333334,12.923076923076922,65.0,45.5,0.0,No status reported,0.0,0.0,42.0,337.0,255.0,95.0,90.0,0.0,0.0,5.0,5.0,10.0,10.0,90.0,2.5,91.0,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,No clasp type reported,Silver,Quartz,50m - 160ft - 5atm,10000.0,32.0,Ladies,130.0,Scarlette mini
ES4318,796483354258,A,32MM,Available,30.0,0,30.0,10.0,55,9.166666666666666,4.363636363636364,70.0,49.0,490.0,No status reported,0.0,0.0,53.0,312.0,125.0,103.0,75.0,2.0,0.0,4.0,7.0,9.0,13.0,30.0,3.25,98.0,Rose gold,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,No clasp type reported,Rose Gold,Quartz,50m - 160ft - 5atm,10000.0,32.0,Ladies,140.0,Scarlette mini
ES4319,796483354265,A,32MM,Available,47.0,0,47.0,0.0,71,11.833333333333334,3.9718309859154926,70.0,49.0,0.0,No status reported,0.0,0.0,70.0,283.0,239.0,122.0,127.0,18.0,2.0,13.0,6.0,4.0,39.0,47.0,9.75,98.0,Silver,Japan - JP,2 - Year International Limited Warranty,Two-Tone,Stainless Steel,Stainless Steel,No clasp type reported,Silver,Quartz,50m - 160ft - 5atm,10000.0,32.0,Ladies,140.0,Scarlette mini
ES4341,796483363649,B,35MM,Available,36.0,0,36.0,0.0,41,6.833333333333333,5.2682926829268295,70.0,49.0,0.0,No status reported,0.0,0.0,23.0,426.0,247.0,70.0,76.0,1.0,2.0,1.0,0.0,3.0,4.0,36.0,1.0,98.0,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,No clasp type reported,Silver,Quartz,50m - 160ft - 5atm,10000.0,35.0,Ladies,140.0,Carlie
ES4352,796483369450,B,36MM,Available,50.0,0,50.0,0.0,40,6.666666666666667,7.5,70.0,49.0,0.0,No status reported,0.0,0.0,0.0,206.0,156.0,70.0,80.0,19.0,8.0,7.0,4.0,0.0,38.0,50.0,9.5,98.0,Cream,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,No clasp type reported,Cream,Quartz,50m - 160ft - 5atm,10000.0,36.0,Ladies,140.0,Jacqueline
ES4432,796483396999,B,28MM,Available,55.0,0,55.0,0.0,65,10.833333333333334,5.076923076923077,60.0,42.0,0.0,2018H3,0.0,0.0,0.0,50.0,74.0,91.0,142.0,3.0,0.0,9.0,3.0,3.0,15.0,55.0,3.75,84.0,Mother of pearl,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,No clasp type reported,Mother Of Pearl,Quartz,50m - 160ft - 5atm,10000.0,28.0,Ladies,120.0,Carlie
ES4433,796483397002,B,28MM,Available,24.0,20,44.0,0.0,56,9.333333333333334,4.714285714285714,60.0,42.0,0.0,No status reported,0.0,0.0,0.0,50.0,25.0,26.0,52.0,17.0,8.0,6.0,4.0,6.0,35.0,24.0,8.75,84.0,Mother of pearl,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,No clasp type reported,Mother Of Pearl,Quartz,50m - 160ft - 5atm,10000.0,28.0,Ladies,120.0,Carlie
ES4484,796483419698,B,35MM,Available,19.0,0,19.0,0.0,17,2.8333333333333335,6.705882352941176,60.0,42.0,0.0,2018H4,0.0,0.0,0.0,0.0,15.0,2.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,84.0,White,Japan - JP,2 - Year International Limited Warranty,Nude,Leather,Stainless Steel,Buckle,White,Quartz,50m - 160ft - 5atm,10000.0,35.0,Ladies,120.0,Carlie
ES4502,796483430013,B,28MM,Available,24.0,0,24.0,0.0,16,2.6666666666666665,9.0,50.0,35.0,0.0,2018H4,0.0,0.0,0.0,0.0,24.0,15.0,38.0,0.0,0.0,3.0,0.0,0.0,3.0,24.0,0.75,70.0,Mother of pearl,Japan - JP,2 - Year International Limited Warranty,Blue,Leather,Stainless Steel,Buckle,Mother Of Pearl,Quartz,50m - 160ft - 5atm,10000.0,28.0,Ladies,100.0,Carlie
ES4519,796483430471,B,38MM,Available,0.0,0,0.0,30.0,38,6.333333333333333,4.736842105263158,75.0,52.5,1575.0,2019H1,0.0,0.0,0.0,0.0,60.0,55.0,57.0,0.0,4.0,18.0,1.0,0.0,23.0,0.0,5.75,105.0,Black,Japan - JP,2 - Year International Limited Warranty,Black,Stainless Steel,Stainless Steel,Fold-Over,Black,Quartz,50m - 160ft - 5atm,10000.0,38.0,Ladies,150.0,Riley
ES4627,796483453180,B,36MM,Available,38.0,0,38.0,0.0,43,7.166666666666667,5.3023255813953485,80.0,56.0,0.0,2019H3,0.0,0.0,0.0,0.0,22.0,37.0,58.0,16.0,6.0,6.0,2.0,3.0,30.0,38.0,7.5,112.0,White,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,Fold-Over,White,Quartz,30m - 100ft - 3atm,10000.0,36.0,Ladies,160.0,Jacqueline
ES4628,796483453197,B,36MM,Available,29.0,0,29.0,0.0,42,7.0,4.142857142857143,80.0,56.0,0.0,2019H3,0.0,0.0,0.0,0.0,29.0,47.0,44.0,12.0,3.0,5.0,3.0,3.0,23.0,29.0,5.75,112.0,Rose gold,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,Fold-Over,Rose Gold,Quartz,30m - 100ft - 3atm,10000.0,36.0,Ladies,160.0,Jacqueline
ES4647,796483452862,B,28MM,Available,53.0,30,83.0,0.0,27,4.5,18.444444444444443,65.0,45.5,0.0,2019H3,0.0,0.0,0.0,0.0,57.0,57.0,68.0,0.0,0.0,12.0,2.0,3.0,14.0,53.0,3.5,91.0,White,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,Fold-Over,White,Quartz,30m - 100ft - 3atm,10000.0,28.0,Ladies,130.0,Carlie mini
ES4648,796483452855,C,28MM,Available,25.0,30,55.0,0.0,45,7.5,7.333333333333333,65.0,45.5,0.0,2019H3,0.0,0.0,0.0,0.0,0.0,30.0,21.0,0.0,0.0,14.0,3.0,7.0,17.0,25.0,4.25,91.0,Rose gold,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,Deployment,Rose Gold,Quartz,50m - 160ft - 5atm,10000.0,28.0,Ladies,130.0,Carlie mini
ES4649,796483452879,B,28MM,Available,13.0,0,13.0,0.0,24,4.0,3.25,65.0,45.5,0.0,2019H3,0.0,0.0,0.0,0.0,58.0,78.0,71.0,0.0,1.0,1.0,3.0,4.0,5.0,13.0,1.25,91.0,White,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,Fold-Over,White,Quartz,30m - 100ft - 3atm,10000.0,28.0,Ladies,130.0,Carlie mini
ES4671,796483459472,B,36MM,Available,17.0,0,17.0,0.0,26,4.333333333333333,3.9230769230769234,70.0,49.0,0.0,2019H2,0.0,0.0,0.0,0.0,39.0,48.0,44.0,3.0,8.0,1.0,2.0,0.0,14.0,17.0,3.5,98.0,Mother of pearl,Japan - JP,2 - Year International Limited Warranty,Rose,Leather,Stainless Steel,Buckle,Mother Of Pearl,Quartz,30m - 100ft - 3atm,10000.0,36.0,Ladies,140.0,Jacqueline
ES4699,796483469723,B,28MM,Available,38.0,10,48.0,0.0,12,2.0,24.0,50.0,35.0,0.0,2019H4,0.0,0.0,0.0,0.0,0.0,1.0,58.0,0.0,10.0,0.0,0.0,0.0,10.0,38.0,2.5,70.0,White,Japan - JP,2 - Year International Limited Warranty,Nude,Leather,Stainless Steel,Buckle,White,Quartz,30m - 100ft - 3atm,10000.0,28.0,Ladies,100.0,Carlie mini
ES4700,796483469730,B,28MM,Available,34.0,0,34.0,0.0,15,2.5,13.6,50.0,35.0,0.0,2019H4,0.0,0.0,0.0,0.0,1.0,4.0,12.0,0.0,5.0,1.0,1.0,0.0,7.0,34.0,1.75,70.0,Black,Japan - JP,2 - Year International Limited Warranty,Black,Leather,Stainless Steel,Buckle,Black,Quartz,30m - 100ft - 3atm,10000.0,28.0,Ladies,100.0,Carlie mini
ES4701,796483469747,B,28MM,Available,47.0,0,47.0,0.0,54,9.0,5.222222222222222,50.0,35.0,0.0,2019H4,0.0,0.0,0.0,0.0,3.0,2.0,40.0,1.0,13.0,3.0,0.0,0.0,17.0,47.0,4.25,70.0,Blue,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,Buckle,Blue,Quartz,30m - 100ft - 3atm,10000.0,28.0,Ladies,100.0,Carlie mini
ES4735,796483469754,B,28MM,Available,45.0,30,75.0,0.0,53,8.833333333333334,8.490566037735848,65.0,45.5,0.0,2019H4,0.0,0.0,0.0,0.0,31.0,71.0,102.0,0.0,0.0,17.0,2.0,6.0,19.0,45.0,4.75,91.0,White,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless Steel,Stainless Steel,Fold-Over,White,Quartz,30m - 100ft - 3atm,10000.0,28.0,Ladies,130.0,Carlie mini
ES4744,796483479111,B,36MM,Available,34.0,10,44.0,0.0,56,9.333333333333334,4.714285714285714,70.0,49.0,0.0,2019H4,0.0,0.0,0.0,0.0,32.0,85.0,76.0,18.0,4.0,7.0,4.0,1.0,33.0,34.0,8.25,98.0,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,Fold-Over,Silver,Quartz,100m - 330ft - 10atm,10000.0,36.0,Ladies,140.0,Fb - 01
ES4745,796483478596,B,36MM,Available,51.0,0,51.0,0.0,73,12.166666666666666,4.191780821917808,70.0,49.0,0.0,2019H4,0.0,0.0,0.0,0.0,0.0,64.0,105.0,12.0,7.0,7.0,4.0,4.0,30.0,51.0,7.5,98.0,Black,Japan - JP,2 - Year International Limited Warranty,Multicolor,Stainless Steel,Stainless Steel,Fold-Over,Black,Quartz,100m - 330ft - 10atm,10000.0,36.0,Ladies,140.0,Fb - 01
ES4746,796483478602,C,36MM,Available,43.0,0,43.0,0.0,62,10.333333333333334,4.161290322580645,70.0,49.0,0.0,2019H4,0.0,0.0,0.0,0.0,43.0,62.0,86.0,13.0,7.0,7.0,3.0,1.0,30.0,43.0,7.5,98.0,Green,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless Steel,Stainless Steel,Fold-Over,Green,Quartz,100m - 330ft - 10atm,10000.0,36.0,Ladies,140.0,Fb - 01
ES4748,796483478589,B,36MM,Available,32.0,0,32.0,0.0,53,8.833333333333334,3.622641509433962,70.0,49.0,0.0,2019H4,0.0,0.0,0.0,0.0,34.0,65.0,75.0,15.0,5.0,5.0,4.0,4.0,29.0,32.0,7.25,98.0,Rose gold,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,Fold-Over,Rose Gold,Quartz,100m - 330ft - 10atm,10000.0,36.0,Ladies,140.0,Fb - 01
