style_id,collection,movement_type,retail_price,color,band_color,case,lug_width,gender
ES5212,CARLIE MINI,3 HAND,125.0,ROSE GOLD,NAVY LEATHER,28MM,12MM,WOMEN
ES5213,CARLIE MINI,3 HAND,125.0,SILVER STAINLESS,CREAM LEATHER,28MM,12MM,WOMEN
ES5214,CARLIE MINI,3 HAND,125.0,SILVER STAINLESS,BROWN LEATHER,28MM,12MM,WOMEN
ES5215,CARLIE MINI,3 HAND,125.0,YELLOW GOLD,BROWN LEATHER,28MM,12MM,WOMEN
ES5208,JACQUELINE,3 HAND DATE,115.0,SILVER STAINLESS,BROWN LEATHER,36MM,16MM,WOMEN
ES5207,JACQUELINE,3 HAND DATE,115.0,ROSE GOLD,BROWN LEATHER,36MM,16MM,WOMEN
ES5216,NEUTRA,CHRONOGRAPH,165.0,YG / SILVER,YG / SILVER,36MM,16MM,WOMEN
ES5217,NEUTRA,CHRONOGRAPH,165.0,SILVER STAINLESS,SILVER STAINLESS,36MM,16MM,WOMEN
ES5218,NEUTRA,CHRONOGRAPH,165.0,ROSE GOLD,ROSE GOLD,36MM,16MM,WOMEN
ES5219,NEUTRA,CHRONOGRAPH,165.0,YELLOW GOLD,YELLOW GOLD,36MM,16MM,WOMEN
ES5220,RAQUEL,3 HAND DATE,145.0,YELLOW GOLD,YELLOW GOLD,23MM,12MM,WOMEN
ES5221,RAQUEL,3 HAND DATE,145.0,SILVER STAINLESS,SILVER STAINLESS,23MM,12MM,WOMEN
ES5222,RAQUEL,3 HAND DATE,145.0,RG / SILVER,RG / SILVER,23MM,12MM,WOMEN
ES5235,RAQUEL,3 HAND DATE,145.0,YELLOW GOLD,BLACK LEATHER,23MM,12MM,WOMEN
ES5234,RAQUEL,3 HAND DATE,145.0,ROSE GOLD,TAUPE LEATHER,23MM,12MM,WOMEN
ES5227,RAQUEL,DUAL TIME,155.0,YELLOW GOLD,BLACK LEATHER,23MM,12MM,WOMEN
ES5228,RAQUEL,DUAL TIME,155.0,ROSE GOLD,BROWN SUGAR LEATHER,23MM,12MM,WOMEN
ES5206,SCARLETTE,3 HAND DAY DATE,135.0,YELLOW GOLD,YELLOW GOLD,32MM,16MM,WOMEN
ME3226,HERITAGE,AUTOMATIC 3 HAND DATE,295.0,YELLOW GOLD,YELLOW GOLD,38MM,20MM,WOMEN
ME3227,HERITAGE,AUTOMATIC 3 HAND DATE,295.0,RG / SILVER,RG / SILVER,38MM,20MM,WOMEN
ME3228,HERITAGE,AUTOMATIC 3 HAND DATE,295.0,YG / SILVER,YG / SILVER,38MM,20MM,WOMEN
ME3229,HERITAGE,AUTOMATIC 3 HAND DATE,295.0,SILVER,SILVER,38MM,20MM,WOMEN
CE1121,FB - 01,3 HAND DATE,225.0,BROWN CERAMIC,BROWN CERAMIC,36MM,18MM,WOMEN
CE1122,STELLA,3 HAND DATE,205.0,BROWN CERAMIC,BROWN CERAMIC,30MM,14MM,WOMEN
FS5938,BRONSON,3 HAND DATE,125.0,BLACK IP,DARK BROWN LEATHER,40MM,22MM,MEN
FS5940,BRONSON,3 HAND DATE,145.0,BLACK IP,BLACK IP,40MM,22MM,MEN
FS5946,FOSSIL BLUE,3 HAND DATE,135.0,SILVER STAINLESS,SAND LEATHER,42MM,22MM,MEN
FS5947,FOSSIL BLUE,3 HAND DATE,135.0,SILVER STAINLESS,BLACK SILICONE,42MM,22MM,MEN
FS5948,FOSSIL BLUE,3 HAND DATE,155.0,SILVER STAINLESS,SILVER MESH,42MM,22MM,MEN
FS5949,FOSSIL BLUE,3 HAND DATE,155.0,SILVER STAINLESS,SILVER STAINLESS,42MM,22MM,MEN
FS5950,FOSSIL BLUE,3 HAND DATE,155.0,YELLOW GOLD,YELLOW GOLD,42MM,22MM,MEN
FS5951,FOSSIL BLUE,3 HAND DATE,155.0,YG / SILVER,YG / SILVER,42MM,22MM,MEN
FS5952,FOSSIL BLUE,3 HAND DATE,155.0,SILVER STAINLESS,SILVER STAINLESS,42MM,22MM,MEN
LE1156,FOSSIL BLUE,3 HAND DATE / DUAL TIME,195.0,SILVER STAINLESS,SILVER STAINLESS,42MM,22MM,MEN
FS5932,INSCRIPTION,3 HAND DATE,145.0,YELLOW GOLD,YELLOW GOLD,42MM,22MM,MEN
FS5933,INSCRIPTION,3 HAND DATE,145.0,SILVER STAINLESS,SILVER STAINLESS,42MM,22MM,MEN
FS5934,INSCRIPTION,3 HAND DATE,125.0,SMOKE IP,BROWN LEATHER,42MM,22MM,MEN
FS5936,MACHINE,3 HAND DAY DATE,145.0,BROWN IP,BROWN IP MESH,42MM,22MM,MEN
FS5942,MINIMALIST,CHRONOGRAPH,155.0,YELLOW GOLD,BROWN CROCO LEATHER,42MM,22MM,MEN
FS5943,MINIMALIST,CHRONOGRAPH,175.0,BLACK IP,BLACK IP MESH,42MM,22MM,MEN
FS5944,MINIMALIST,CHRONOGRAPH,175.0,SILVER STAINLESS,SILVER MESH,42MM,22MM,MEN
FS5941,NEUTRA,CHRONOGRAPH,155.0,BROWN IP,WHISKEY BROWN LEATHER,44MM,22MM,MEN
ME3221,HERITAGE,AUTOMATIC 3 HAND DATE,275.0,SILVER STAINLESS,BROWN LEATHER,43MM,22MM,MEN
ME3223,HERITAGE,AUTOMATIC 3 HAND DATE,295.0,SILVER STAINLESS,SILVER STAINLESS,43MM,22MM,MEN
ME3224,HERITAGE,AUTOMATIC 3 HAND DATE,295.0,SILVER STAINLESS,SILVER STAINLESS,43MM,22MM,MEN
ME3222,HERITAGE,AUTOMATIC 3 HAND DATE,275.0,ROSE GOLD,BLACK LEATHER,43MM,22MM,MEN
ME3225,TOWNSMAN,AUTOMATIC 3 HAND,235.0,BROWN IP,WHISKEY BROWN LEATHER,44MM,22MM,MEN
