style_id,upc_num,priority,case,availability,qty_on_hand,qty_on_order,qty_total,qty_sales_order,qty_sold_last_6m,qty_avg/mo,months_of_supply,cte_cost,qty_cte_cost,status,2015,2016,2017,2018,2019,2020,2021,2022-01,2022-02,2022-03,2022-04,total_sales_2022,monthly_avg_2022,color,country_of_origin,warranty,band_color,band_material,case_material,clasp_type,dial_color,movement_type,water_resistant,max_cart_qty,case_size,gender,retail_price,collection,wholesale_price
FS5756,796483521544,C,44MM,Available,18.0,0,18.0,0.0,18,3.0,6.0,45.5,0.0,2020h3,0.0,0.0,0.0,0.0,0.0,2.0,33.0,0.0,0.0,4.0,1.0,5.0,1.25,Black,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Black,Quartz,30m - 100ft - 3atm,10000.0,44.0,Mens,130.0,The minimalist 3h,65.0
FS5763,796483521612,B,44MM,Available,9.0,0,9.0,10.0,19,3.1666666666666665,6.0,56.0,560.0,2020h3,0.0,0.0,0.0,0.0,0.0,0.0,35.0,3.0,0.0,4.0,1.0,8.0,2.0,Black,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Black,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,160.0,Neutra chrono,80.0
FS5772,796483513303,C,44MM,Available,15.0,30,45.0,0.0,88,14.666666666666666,3.0681818181818183,56.0,0.0,2020h3,0.0,0.0,0.0,0.0,0.0,0.0,147.0,5.0,0.0,25.0,3.0,33.0,8.25,Gold,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless steel,Stainless steel,Fold-over,Gold,Quartz,100m - 330ft - 10atm,10000.0,44.0,Mens,160.0,Garrett,80.0
FS5791,796483530553,C,44MM,Available,41.0,0,41.0,0.0,43,7.166666666666667,5.720930232558139,56.0,0.0,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,41.0,10.0,4.0,4.0,0.0,18.0,4.5,Blue,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,No clasp type reported,Blue,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,160.0,Neutra chrono,80.0
FS5792,796483530485,B,44MM,Available,30.0,30,60.0,0.0,30,5.0,12.0,62.99999999999999,0.0,2021h1,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,3.0,0.0,0.0,3.0,0.75,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless steel,Stainless steel,No clasp type reported,Blue,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,180.0,Neutra chrono,90.0
FS5795,796483534360,C,42MM,Available,39.0,0,39.0,10.0,64,10.666666666666666,4.59375,66.5,665.0,2021h2,0.0,0.0,0.0,0.0,0.0,0.0,43.0,6.0,6.0,14.0,6.0,32.0,8.0,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless steel,Stainless steel,Deployment,Blue,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,190.0,Everett chronograph,95.0
FS5796,796483534377,C,42MM,Available,45.0,0,45.0,0.0,47,7.833333333333333,5.74468085106383,66.5,0.0,2021h2,0.0,0.0,0.0,0.0,0.0,0.0,34.0,6.0,0.0,10.0,3.0,19.0,4.75,Silver,Japan - JP,2 - Year International Limited Warranty,Two-tone,Stainless steel,Stainless steel,Deployment,Cream,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,190.0,Everett chronograph,95.0
FS5797,796483534384,C,42MM,Available,26.0,0,26.0,0.0,26,4.333333333333333,6.0,66.5,0.0,2021h2,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,1.0,4.0,8.0,15.0,3.75,Black,Japan - JP,2 - Year International Limited Warranty,Black,Stainless steel,Stainless steel,Deployment,Black,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,190.0,Everett chronograph,95.0
FS5798,796483534391,C,42MM,Available,11.0,0,11.0,10.0,34,5.666666666666667,3.705882352941176,59.49999999999999,594.9999999999999,2021h2,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,0.0,6.0,11.0,22.0,5.5,Black,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Black,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,170.0,Everett chronograph,85.0
FS5799,796483534407,C,42MM,Available,20.0,0,20.0,0.0,30,5.0,4.0,59.49999999999999,0.0,2021h2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,5.0,5.0,7.0,23.0,5.75,Gunmetal,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Grey,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,170.0,Everett chronograph,85.0
FS5821,796483530591,B,42MM,Available,28.0,10,38.0,0.0,45,7.5,5.066666666666666,56.0,0.0,2021h1,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,7.0,8.0,3.0,25.0,6.25,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless steel,Stainless steel,Clasp,Black,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,160.0,Everett 3h,80.0
FS5822,796483530607,C,42MM,Available,28.0,0,28.0,0.0,39,6.5,4.3076923076923075,56.0,0.0,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,30.0,13.0,8.0,6.0,5.0,32.0,8.0,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless steel,Stainless steel,Fold-over,Blue,No movement type reported,50m - 160ft - 5atm,10000.0,42.0,Mens,160.0,Everett,80.0
FS5823,796483530621,C,42MM,Available,41.0,0,41.0,0.0,65,10.833333333333334,3.7846153846153845,56.0,0.0,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,75.0,17.0,7.0,6.0,3.0,33.0,8.25,Silver,Japan - JP,2 - Year International Limited Warranty,Two-tone,Stainless steel,Stainless steel,No clasp type reported,Cream,Quartz,50m - 160ft - 5atm,10000.0,42.0,Mens,160.0,Everett,80.0
FS5824,796483530614,C,42MM,Available,14.0,0,14.0,0.0,16,2.6666666666666665,5.25,56.0,0.0,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,4.0,1.0,10.0,2.5,Black,Japan - JP,2 - Year International Limited Warranty,Black,Stainless steel,Stainless steel,No clasp type reported,Black,Quartz,50m - 160ft - 5atm,10000.0,42.0,Mens,160.0,Everett,80.0
FS5830,796483533691,C,42MM,Available,28.0,0,28.0,0.0,40,6.666666666666667,4.2,66.5,0.0,2021h2,0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.0,1.0,9.0,3.0,16.0,4.0,Gunmetal,Japan - JP,2 - Year International Limited Warranty,Gunmetal,Stainless steel,Stainless steel,Deployment,Grey,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,190.0,Everett chronograph,95.0
FS5832,796483536838,C,44MM,Available,20.0,10,30.0,0.0,20,3.3333333333333335,9.0,49.0,0.0,2021h2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,2.0,5.0,0.0,16.0,4.0,Silver,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Blue,Quartz,50m - 160ft - 5atm,100.0,44.0,Mens,140.0,Pilot chrono,70.0
FS5833,796483536807,C,44MM,Available,16.0,0,16.0,10.0,29,4.833333333333333,5.379310344827586,49.0,490.0,2021h2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,2.0,6.0,3.0,20.0,5.0,Black,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Black,Quartz,50m - 160ft - 5atm,100.0,44.0,Mens,140.0,Pilot chrono,70.0
FS5835,796483534322,C,42MM,Available,42.0,0,42.0,0.0,32,5.333333333333333,7.875,62.99999999999999,0.0,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,37.0,5.0,6.0,1.0,2.0,14.0,3.5,Gunmetal,Japan - JP,2 - Year International Limited Warranty,Gunmetal,Stainless steel,Stainless steel,Fold-over,Black,Quartz,100m - 330ft - 10atm,100.0,42.0,Mens,180.0,Fb - 01 chrono,90.0
FS5836,796483534339,B,42MM,Available,61.0,0,61.0,0.0,65,10.833333333333334,5.63076923076923,62.99999999999999,0.0,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,75.0,2.0,3.0,13.0,12.0,30.0,7.5,Gold,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless steel,Stainless steel,Fold-over,Black,Quartz,100m - 330ft - 10atm,100.0,42.0,Mens,180.0,Fb - 01 chrono,90.0
FS5837,796483534346,C,42MM,Available,40.0,0,40.0,0.0,34,5.666666666666667,7.0588235294117645,62.99999999999999,0.0,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,58.0,6.0,0.0,1.0,4.0,11.0,2.75,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless steel,Stainless steel,Fold-over,Black,Quartz,100m - 330ft - 10atm,100.0,42.0,Mens,180.0,Fb - 01 chrono,90.0
FS5838,796483536555,C,44MM,Available,62.0,0,62.0,0.0,16,2.6666666666666665,23.25,49.0,0.0,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,5.0,0.0,1.0,11.0,2.75,Silver,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Green,Mechanical,50m - 160ft - 5atm,100.0,44.0,Mens,140.0,The minimalist solar,70.0
FS5839,796483536562,B,44MM,Available,57.0,0,57.0,0.0,25,4.166666666666667,13.68,49.0,0.0,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,4.0,0.0,0.0,12.0,3.0,Silver,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Blue,Mechanical,50m - 160ft - 5atm,100.0,44.0,Mens,140.0,The minimalist solar,70.0
FS5840,796483536579,C,44MM,Available,33.0,0,33.0,0.0,37,6.166666666666667,5.351351351351351,49.0,0.0,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,2.0,3.0,0.0,7.0,1.75,Gold,Japan - JP,2 - Year International Limited Warranty,Black,Leather,Stainless steel,Buckle,Black,Mechanical,50m - 160ft - 5atm,100.0,44.0,Mens,140.0,The minimalist solar,70.0
FS5841,796483536586,C,44MM,Delivery within 6 weeks,81.0,0,81.0,0.0,14,2.3333333333333335,34.714285714285715,49.0,0.0,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,5.0,1.25,Black,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Black,Mechanical,50m - 160ft - 5atm,100.0,44.0,Mens,140.0,The minimalist solar,70.0
FS5843,796483534469,C,40MM,Delivery more than 6 weeks,0.0,0,0.0,30.0,0,0.0,0.0,35.0,1050.0,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gold,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless steel,Stainless steel,Safety,Digital,Digital,50m - 160ft - 5atm,100.0,40.0,Mens,100.0,Retro digital,50.0
FS5844,796483534476,C,40MM,Delivery more than 6 weeks,0.0,0,0.0,20.0,0,0.0,0.0,35.0,700.0,2021h2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless steel,Stainless steel,Safety,Digital,Digital,50m - 160ft - 5atm,100.0,40.0,Mens,100.0,Retro digital,50.0
FS5846,796483534483,C,40MM,Delivery more than 6 weeks,0.0,0,0.0,15.0,0,0.0,0.0,35.0,525.0,2021h2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,Gunmetal,Japan - JP,2 - Year International Limited Warranty,Gunmetal,Stainless steel,Stainless steel,Safety,Digital,Digital,50m - 160ft - 5atm,100.0,40.0,Mens,100.0,Retro digital,50.0
FS5847,796483545922,C,42MM,Available,20.0,0,20.0,0.0,20,3.3333333333333335,6.0,62.99999999999999,0.0,2021h3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,9.0,3.0,0.0,17.0,4.25,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless steel,Stainless steel,Fold-over,Black,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,180.0,The minimalist chrono,90.0
FS5848,796483545939,C,42MM,Available,35.0,0,35.0,0.0,5,0.8333333333333334,42.0,62.99999999999999,0.0,2021h3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.75,Black,Japan - JP,2 - Year International Limited Warranty,Black,Stainless steel,Stainless steel,Fold-over,Black,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,180.0,The minimalist chrono,90.0
FS5849,796483545946,C,42MM,Available,11.0,0,11.0,0.0,9,1.5,7.333333333333333,56.0,0.0,2021h3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,9.0,2.25,Silver,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Cream,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,160.0,The minimalist chrono,80.0
FS5850,796483545953,C,42MM,Available,16.0,0,16.0,0.0,14,2.3333333333333335,6.857142857142857,56.0,0.0,2021h3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,14.0,3.5,Silver,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Blue,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,160.0,The minimalist chrono,80.0
FS5851,796483545151,C,44MM,Available,19.0,0,19.0,5.0,28,4.666666666666667,5.142857142857142,70.0,350.0,2021h3,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,6.0,4.0,1.0,12.0,3.0,Black,Japan - JP,2 - Year International Limited Warranty,Black,Stainless steel,Stainless steel,Clasp,Black,Quartz,50m - 160ft - 5atm,100.0,44.0,Mens,200.0,Bronson,100.0
FS5852,796483545168,C,44MM,Available,24.0,0,24.0,5.0,36,6.0,4.833333333333333,70.0,350.0,2021h3,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,9.0,1.0,10.0,2.5,Grey,Japan - JP,2 - Year International Limited Warranty,Grey,Stainless steel,Stainless steel,Clasp,Black,Quartz,50m - 160ft - 5atm,100.0,44.0,Mens,200.0,Bronson,100.0
FS5853,796483545175,C,44MM,Available,19.0,0,19.0,5.0,30,5.0,4.8,70.0,350.0,2021h3,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,2.0,8.0,0.0,12.0,3.0,Black,Japan - JP,2 - Year International Limited Warranty,Black,Stainless steel,Stainless steel,Clasp,Black,Quartz,50m - 160ft - 5atm,100.0,44.0,Mens,200.0,Bronson,100.0
FS5855,796483545205,C,44MM,Available,15.0,0,15.0,0.0,15,2.5,6.0,62.99999999999999,0.0,2021h3,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,1.0,7.0,1.75,Grey,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Grey,Quartz,50m - 160ft - 5atm,100.0,44.0,Mens,180.0,Bronson,90.0
FS5861,796483545328,C,45MM,Delivery more than 6 weeks,14.0,0,14.0,0.0,16,2.6666666666666665,5.25,66.5,0.0,2021h3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,2.0,13.0,3.25,Smoke,Japan - JP,2 - Year International Limited Warranty,Grey,Stainless steel,Stainless steel,Clasp,Digital,Digital,100m - 330ft - 10atm,100.0,45.0,Mens,190.0,Everett,95.0
FS5862,796483545335,C,45MM,Delivery more than 6 weeks,11.0,0,11.0,10.0,29,4.833333333333333,4.344827586206897,66.5,665.0,2021h3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,8.0,5.0,27.0,6.75,Gold,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless steel,Stainless steel,Clasp,Digital,Digital,100m - 330ft - 10atm,100.0,45.0,Mens,190.0,Everett,95.0
FS5874,796483556638,C,50MM,Available,36.0,0,36.0,0.0,34,5.666666666666667,6.352941176470588,62.99999999999999,0.0,2021h4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,22.0,1.0,27.0,6.75,Black,Japan - JP,2 - Year International Limited Warranty,Black,Leather,Stainless steel,Buckle,Black,Quartz,50m - 160ft - 5atm,100.0,50.0,Mens,180.0,Bronson,90.0
FS5875,796483556232,C,50MM,Available,32.0,0,32.0,0.0,28,4.666666666666667,6.857142857142857,62.99999999999999,0.0,2021h4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,12.0,1.0,21.0,5.25,Black,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Black,Quartz,50m - 160ft - 5atm,100.0,50.0,Mens,180.0,Bronson,90.0
FS5876,796483556256,C,50MM,Available,26.0,0,26.0,0.0,34,5.666666666666667,4.588235294117647,70.0,0.0,2021h4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,21.0,1.0,26.0,6.5,Black,Japan - JP,2 - Year International Limited Warranty,Black,Stainless steel,Stainless steel,Deployment,Black,Quartz,50m - 160ft - 5atm,100.0,50.0,Mens,200.0,Bronson,100.0
FS5877,796483556249,C,50MM,Available,46.0,0,46.0,10.0,84,14.0,4.0,70.0,700.0,2021h4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23.0,13.0,20.0,11.0,67.0,16.75,Gold,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless steel,Stainless steel,Deployment,Black,Quartz,50m - 160ft - 5atm,100.0,50.0,Mens,200.0,Bronson,100.0
FS5883,796483556621,C,42MM,Available,18.0,0,18.0,0.0,32,5.333333333333333,3.375,52.5,0.0,2021h4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,20.0,2.0,28.0,7.0,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless steel,Stainless steel,Buckle,Black,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,150.0,Machine,75.0
FS5893,796483561830,2022h1,42MM,Available,19.0,0,19.0,0.0,1,0.16666666666666666,114.0,52.5,0.0,2022h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,Blue,Japan - JP,2 - Year International Limited Warranty,Blue,Fabric,Resin,Buckle,Blue,Solar,100m - 330ft - 10atm,100.0,42.0,Mens,150.0,Fb - 01,75.0
FS5898,796483566897,2022h1,44MM,Available,30.0,0,30.0,0.0,0,0.0,0.0,62.99999999999999,0.0,2022h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Silver,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Green,Quartz,50m - 160ft - 5atm,100.0,44.0,Mens,180.0,Bronson,90.0
FS5899,796483561854,2022h1,42MM,Available,28.0,0,28.0,0.0,2,0.3333333333333333,84.0,56.0,0.0,2022h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.5,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless steel,Stainless steel,Fold-over,Green,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,160.0,Machine,80.0
FS5900,796483566873,2022h1,42MM,Available,27.0,0,27.0,0.0,3,0.5,54.0,49.0,0.0,2022h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.75,Smoke,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Grey,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,140.0,Machine,70.0
FS5901,796483566880,2022h1,42MM,Available,23.0,0,23.0,0.0,2,0.3333333333333333,69.0,49.0,0.0,2022h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Black,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,140.0,Machine,70.0
FS5902,796483566910,2022h1,44MM,Available,20.0,0,20.0,0.0,0,0.0,0.0,56.0,0.0,2022h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Silver,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Green,Quartz,50m - 160ft - 5atm,100.0,44.0,Mens,160.0,Neutra,80.0
FS5903,796483567061,2022h1,42MM,Available,19.0,0,19.0,0.0,1,0.16666666666666666,114.0,59.49999999999999,0.0,2022h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,Silver,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Blue,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,170.0,Neutra,85.0
FS5904,796483567078,2022h1,42MM,Available,20.0,0,20.0,0.0,0,0.0,0.0,59.49999999999999,0.0,2022h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Silver,Japan - JP,2 - Year International Limited Warranty,Black,Leather,Stainless steel,Buckle,Black,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,170.0,Neutra,85.0
FS5905,796483567054,2022h1,42MM,Available,16.0,0,16.0,0.0,4,0.6666666666666666,24.0,59.49999999999999,0.0,2022h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,Silver,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Silver,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,170.0,Neutra,85.0
FS5906,796483561892,2022h1,42MM,Available,14.0,0,14.0,0.0,6,1.0,14.0,66.5,0.0,2022h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.75,Silver,Japan - JP,2 - Year International Limited Warranty,Two-tone,Stainless steel,Stainless steel,Fold-over,Black,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,190.0,Neutra,95.0
FS5907,796483561908,2022h1,42MM,Available,0.0,0,0.0,20.0,0,0.0,0.0,66.5,1330.0,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless steel,Stainless steel,Fold-over,Blue,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,190.0,Neutra,95.0
FS5908,796483561939,2022h1,42MM,Available,15.0,0,15.0,0.0,5,0.8333333333333334,18.0,62.99999999999999,0.0,2022h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.25,Grey,Japan - JP,2 - Year International Limited Warranty,Grey,Stainless steel,Stainless steel,Buckle,Green,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,180.0,Neutra,90.0
FS5911,796483562004,2022h1,42MM,Available,8.0,0,8.0,0.0,2,0.3333333333333333,24.0,52.5,0.0,2022h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,Clear,Japan - JP,2 - Year International Limited Warranty,Green,Fabric,Resin,Buckle,Black,Solar,100m - 330ft - 10atm,100.0,42.0,Mens,150.0,Fb - 01,75.0
